Consumer Price Index item,Percent change
Sugar and sweets,4.598076923076923
Fresh fruits,4.507692307692308
Food away from home,4.269230769230769
Cereals and bakery products,4.257692307692308
Nonalcoholic beverages,4.230769230769231
Beef and veal,4.223076923076923
Fish and seafood,4.207692307692308
Fresh fruits and vegetables,4.1923076923076925
Fruits and vegetables,4.003846153846154
Fresh vegetables,3.986538461538461
Fats and oils,3.967307692307692
All food,3.8634615384615385
Other foods,3.8076923076923075
Food at home,3.6557692307692307
Eggs,3.5846153846153848
Meats,3.5730769230769233
"Meats, poultry, and fish",3.4826923076923078
Dairy products,3.340384615384615
Other meats,3.2365384615384616
Pork,2.980769230769231
Poultry,2.8288461538461536
Processed fruits and vegetables,2.6666666666666665
